provider,flow,area,source,product,frequency,unit,detail,series_id,description,name
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPLLPA_FPF_R40_MBBLD.M,PET.M_EPLLPA_FPF_R40_MBBLD.M,"PADD 4  Field Production of Propane, Monthly (Thousand Barrels per Day)","PADD 4  Field Production of Propane, Monthly (Thousand Barrels per Day)"
US_EIA,None,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.8_NA_8R0D_R40_MBBL.A,PET.8_NA_8R0D_R40_MBBL.A,"PADD 4 Domestic Crude Oil Refinery Receipts, Annual (Thousand Barrels)","PADD 4 Domestic Crude Oil Refinery Receipts, Annual (Thousand Barrels)"
US_EIA,None,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.8_NA_8R0F_R40_MBBL.A,PET.8_NA_8R0F_R40_MBBL.A,"PADD 4 Foreign Crude Oil Refinery Receipts, Annual (Thousand Barrels)","PADD 4 Foreign Crude Oil Refinery Receipts, Annual (Thousand Barrels)"
US_EIA,None,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.8_NA_8RPD_R40_MBBL.A,PET.8_NA_8RPD_R40_MBBL.A,"PADD 4 Domestic Crude Oil Refinery Receipts by Pipeline, Annual (Thousand Barrels)","PADD 4 Domestic Crude Oil Refinery Receipts by Pipeline, Annual (Thousand Barrels)"
US_EIA,None,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.8_NA_8RPF_R40_MBBL.A,PET.8_NA_8RPF_R40_MBBL.A,"PADD 4 Foreign Crude Oil Refinery Receipts by Pipeline, Annual (Thousand Barrels)","PADD 4 Foreign Crude Oil Refinery Receipts by Pipeline, Annual (Thousand Barrels)"
US_EIA,None,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.8_NA_8RCD_R40_MBBL.A,PET.8_NA_8RCD_R40_MBBL.A,"PADD 4 Domestic Crude Oil Refinery Receipts by Tank Cars (Rail), Annual (Thousand Barrels)","PADD 4 Domestic Crude Oil Refinery Receipts by Tank Cars (Rail), Annual (Thousand Barrels)"
US_EIA,None,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.8_NA_8RCF_R40_MBBL.A,PET.8_NA_8RCF_R40_MBBL.A,"PADD 4 Foreign Crude Oil Refinery Receipts by Tank Cars (Rail), Annual (Thousand Barrels)","PADD 4 Foreign Crude Oil Refinery Receipts by Tank Cars (Rail), Annual (Thousand Barrels)"
US_EIA,None,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.8_NA_8RRD_R40_MBBL.A,PET.8_NA_8RRD_R40_MBBL.A,"PADD 4 Domestic Crude Oil Refinery Receipts by Truck, Annual (Thousand Barrels)","PADD 4 Domestic Crude Oil Refinery Receipts by Truck, Annual (Thousand Barrels)"
US_EIA,None,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.8_NA_8RRF_R40_MBBL.A,PET.8_NA_8RRF_R40_MBBL.A,"PADD 4 Foreign Crude Oil Refinery Receipts by Truck, Annual (Thousand Barrels)","PADD 4 Foreign Crude Oil Refinery Receipts by Truck, Annual (Thousand Barrels)"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBBL,PET.8_NA_8FPS_R40_MBBL.A,PET.8_NA_8FPS_R40_MBBL.A,"PADD 4 Still Gas Consumed at Refineries, Annual ","PADD 4 Still Gas Consumed at Refineries, Annual "
